title,url,type
‘WAGS Miami’ Stars Ashley Nicole Roberts and Philip Wheeler Are Married,https://www.usmagazine.com/celebrity-news/news/wags-miami-stars-ashley-nicole-roberts-and-philip-wheeler-are-married-w482173/,BANK_NEWS
Mel Gibson: Hollywood Pedophiles Have Nowhere Left To Hide,http://yournewswire.com/mel-gibson-hollywood-pedophiles/,BANK_NEWS
Medium Tyler Henry Addresses The ‘Chilling’ Messages Kristin Cavallari’s Deceased Brother Expressed During Reading,https://perezhilton.com/tyler-henry-says-kristin-cavallari-brother-sent-chilling-messages-during-reading/,BANK_NEWS
DWTS Season 27 Results: Week 5 - Disney Night,https://abc.go.com/shows/dancing-with-the-stars/news/dwts-results-and-eliminations/fall-2018-season-27-week-5-results-disney-night,BANK_NEWS
2011 via CQ subscribers only Tax Foundation,,BANK_NEWS
5 Reasons Why Tarek El Moussa Will Overcome His Latest Back Injury,www.eonline.com/news/932478/5-reasons-why-tarek-el-moussa-will-overcome-his-latest-back-injury,BANK_NEWS
"David Cassidy cuts estranged daughter Katie completely out of his will… but leaves £110,000 to son Beau",https://www.thesun.co.uk/news/5086439/david-cassidy-cuts-estranged-daughter-katie-completely-out-of-his-will-but-leaves-110000-to-son-beau/,BANK_NEWS
"Actress Brigitte Nielsen, 54, has given birth to her fifth child",https://www.usatoday.com/story/life/people/2018/06/24/brigitte-nielsen-fifth-baby/728936002/,BANK_NEWS
The Kardashians donate whopping sum to Las Vegas mass shooting victims,https://web.archive.org/web/20171228144534/http://houstonchronicle-tv.com/the-kardashians-donate-whopping-sum-to-las-vegas-mass-shooting-victims/,BANK_NEWS
Is Brad Pitt Open To Getting Back Together With Angelina After Rumors She’s Into It?,hollywoodlife.com/2017/08/27/would-brad-pitt-get-back-together-with-angelina-jolie-divorce/,BANK_NEWS
Pink Announces 2018 Tour and Drops New Single,https://celebmix.com/pink-announces-2018-tour-drops-new-single/,BANK_NEWS
"A glimpse at the relationship of Meghan Markle, Kate Middleton, Prince Harry and Prince William before the British royal wedding",www.sacbee.com/news/nation-world/world/article211173964.html,OFFER_NEWS
"Johnny Depp, Charlie Sheen and Kevin Dillon reunite",https://www.dailymail.co.uk/tvshowbiz/article-4707660/Johnny-Depp-Charlie-Sheen-Kevin-Dillon-reunite.html,OFFER_NEWS
Are Katie Holmes & Jamie Foxx Expecting A Baby? New Report Claims They Want To Start A Family,hollywoodlife.com/2018/02/12/jamie-foxx-katie-holmes-baby-pregnant-want-to-start-family/,OFFER_NEWS
Ryan Phillippe shows off insanely chiseled bod shirtless in the snow,https://www.msn.com/en-us/tv/celebrity/ryan-phillippe-shows-off-insanely-chiseled-bod-shirtless-in-the-snow,OFFER_NEWS
10 Pretty Celebrity Books That Would Look Good on Your Coffee Table,https://stylecaster.com/celeb-coffee-table-books/,OFFER_NEWS
Pink Panics Before Hanging Off L.A. Hotel for AMAs 2017 Performance,https://www.usmagazine.com/celebrity-news/news/pink-panics-before-hanging-off-l-a-hotel-for-amas-2017-performance/,OFFER_NEWS
Anne Hathaway Preemptively Shut Down Body-Shamers with an Instagram Post About Weight Gain,https://www.marieclaire.com/celebrity/a19699818/anne-hathaway-instagram-post-weight-gain/,OFFER_NEWS
WATCH: Kendall Jenner’s first-ever Adidas ad,https://www.channel24.co.za/Gossip/News/watch-kendall-jenners-first-ever-adidas-ad-20170811,OFFER_NEWS
Bachelor' Alum Vienna Girardi Reveals Gender of Her Twins,https://www.usmagazine.com/celebrity-moms/news/bachelor-alum-vienna-girardi-reveals-gender-of-her-twins-w495348/,OFFER_NEWS
Teen Mom OG's Tyler Baltierra Reveals How He Lost 30 lbs.,https://people.com/tv/teen-mom-og-tyler-baltierra-reveals-how-he-lost-30-pounds/,OFFER_NEWS
Kim Kardashian West Says Her Kids Don't Know She's Famous: They 'Have No Clue',https://people.com/parents/kim-kardashian-west-kids-dont-know-they-are-famous/,OFFER_NEWS
Why All Ladies Crush on Angelina Jolie,www.eonline.com/news/128009/why-all-ladies-crush-on-angelina-jolie,OFFER_NEWS
Jennifer Lawrence Blasts Harvey Weinstein's Legal Tactics,https://www.msn.com/en-ie/news/other/jennifer-lawrence-blasts-harvey-weinsteins-legal-tactics/vp-BBJtuGo,OFFER_NEWS
"The CW renews 'Supernatural,' 'Arrow,' 'Supergirl, 'Riverdale,' and more",https://ew.com/tv/2018/04/02/cw-renewals-2018-2019/,OFFER_NEWS
Harvey Weinstein Hired Investigators to Spy on Accusers – Variety,https://variety.com/2017/film/news/harvey-weinstein-spies-accusers-1202608495/,OFFER_NEWS
Mario Lopez admits: 'I cheated on Ali Landry days before our wedding',www.dailymail.co.uk/tvshowbiz/article-1356215/Mario-Lopez-admits-I-cheated-Ali-Landry-days-wedding.html,BANK_NEWS
Watch Married at First Sight’s Jonathan Squirm When Confronted by Molly’s Sister,https://dailynews.news/watch-married-at-first-sight039s-jonathan-squirm-when-confronted-by-molly039s-sister/,BANK_NEWS
A Farewell to @midnight: Why the Comedy Central Quiz Show Is Ending & Why That Really Sucks,https://www.longroom.com/discussion/615871/a-farewell-to-midnight-why-the-comedy-central-quiz-show-is-ending-why-that-really-sucks,BANK_NEWS
List of Who Beyonce Knowles Has Dated,https://www.ranker.com/list/beyonce-knowles_-loves-and-hookups/celebrityhookups,BANK_NEWS
Katy Perry Says She's Ready for a 'Soul Overhaul' After 'Killing Her Ego' This Past Year,https://www.etonline.com/katy-perry-says-shes-ready-for-a-soul-overhaul-after-killing-her-ego-this-past-year-95816,BANK_NEWS
Rose Leslie Made Kit Harington Wear a Jon Snow Costume,http://time.com/4986364/rose-leslie-kit-harington-jon-snow-costume/,BANK_NEWS
Kate Middleton wears Diana's tiara at Queen's Diplomatic Reception,https://www.dailymail.co.uk/femail/article-6460231/Kate-Middleton-wears-Princess-Dianas-tiara-joins-William-Queens-Diplomatic-Reception.html,BANK_NEWS
Michael Fassbender & Alicia Vikander Split After 9 Months Of Dating,hollywoodlife.com/2015/09/17/alicia-vikander-michael-fassbender-break-up-split-relationship/,BANK_NEWS
Ryan Lochte cleared of false-report charge after incident at Rio Olympics,www.washingtonpost.com/news/early-lead/wp/2017/07/14/ryan-lochte-cleared-of-false-report-charge-after-incident-at-rio-olympics/,BANK_NEWS
‘Bachelorette’ Star Chad Johnson Reveals Why He Sabotages Relationships And The Toll His Mom’s Death Took,https://www.inquisitr.com/4336274/bachelorette-chad-johnson-sabotage-relationship-mother-death/,BANK_NEWS
Kourtney Kardashian's home swarming with tarantulas,https://www.dailymail.co.uk/tvshowbiz/article-5369693/Kourtney-Kardashians-home-mating-tarantulas.html,BANK_NEWS
"All About the $4,200 Crib Kim Kardashian West and Beyoncé Used",https://people.com/parents/kim-kardashian-beyonce-crib-vetro-acrylic-chicago-blue/,BANK_NEWS
Kim Kardashian Insisted a Sick Kanye West Go to Hospital After Saint's Pneumonia Scare: Source,people.com/tv/kim-kardashian-insisted-kanye-west-go-hospital/,BANK_NEWS
Audrina Patridge Divorce: Corey Bohan Seeks Joint Custody,https://www.usmagazine.com/celebrity-news/news/audrina-patridge-divorce-corey-bohan-seeks-joint-custody/,BANK_NEWS
Mama June Trash Talks Daughter Pumpkin's Fiance,https://popculture.com/reality-tv/2018/02/02/mama-june-from-not-to-hot-pumpkin-fiance-josh-efird/,BANK_NEWS
Scott Brought a Girl Out Here! Disick Disrupts Another Trip and the Kardashian Family's Reaction Is Priceless: Watch Now,http://communitynewsblog.com/2017/05/scott-brought-a-girl-out-here-disick-disrupts-another-trip-and-the-kardashian-familys-reaction-is-priceless-watch-now/,BANK_NEWS
Rachel Brosnahan attends Tony Awards days after aunt Kate Spade’s death,https://www.aol.com/article/entertainment/2018/06/11/rachel-brosnahan-attends-tony-awards-days-after-aunt-kate-spades-death/23456015/,BANK_NEWS
"Norvell Presents ""Dancing With The Stars"" Product Line",https://smarttan.com/news/index.php/norvell-presents-dancing-with-the-stars-product-line/,BANK_NEWS
Saved By The Bell's Mark-Paul Gosselaar and Tiffani Thiessen to reunite,https://www.dailymail.co.uk/tvshowbiz/article-3441573/Saved-Bell-couple-Mark-Paul-Gosselaar-Tiffani-Thiessen-reunite-Dinner-Tiffani-s.html,BANK_NEWS
Sofia Richie to Kourtney Kardashian: Stay Away From Scott Disick!,www.thehollywoodgossip.com/2018/08/sofia-richie-to-kourtney-kardashian-stay-away-from-scott-disick/,BANK_NEWS
Would you consider a colored lip balm as a makeup product?,https://www.quora.com/Would-you-consider-a-colored-lip-balm-as-a-makeup-product,BANK_NEWS
RHOMiami Alum Joanna Krupa & Romain Zago Finalize Divorce,https://people.com/tv/joanna-krupa-romain-zago-finalize-divorce/,BANK_NEWS
Kate Middleton Really Wants to Get Pregnant With Baby No. 3 but Prince William Is Not Having It (EXCLUSIVE),www.lifeandstylemag.com/posts/kate-middleton-prince-william-fight-baby-no-3-137664,OFFER_NEWS
KJ Apa Roasts Cole Sprouse on Instagram With a Throwback Photo,https://www.teenvogue.com/story/kj-apa-roasts-cole-sprouse-instagram-throwback-photo,OFFER_NEWS
Less Bounce? Iggy Azalea Says She Lost 15 Lbs. in 1 Week from Twerking for Her Latest Music Video,https://people.com/bodies/iggy-azalea-lost-15-lbs-twerking/,OFFER_NEWS
Inside Matt Lauer's Quiet Life 1 Year After Today Show Firing: 'He's Not Doing Well',https://www.msn.com/en-us/tv/celebrity/inside-matt-lauers-quiet-life-1-year-after-today-show-firing-hes-not-doing-well/ar-BBQdwia,OFFER_NEWS
"Sean Penn Talks Haiti, Humanitarianism and Hollywood",https://hauteliving.com/2016/11/sean-penn-talks-haiti-humanitarianism-and-hollywood-2/623784/,OFFER_NEWS
J Balvin Lives the Moment With His Dream Girl in New 'Ahora' Video,https://www.billboard.com/articles/columns/latin/8219675/j-balvin-ahora-video,OFFER_NEWS
Anthony Michael Hall Sentenced to Three Years' Probation for Assault,https://www.hollywoodreporter.com/news/anthony-michael-hall-sentenced-three-years-probation-assault-1041733,OFFER_NEWS
"Jada Pinkett Smith Not Leaving Will Smith For August Alsina, Despite Claim",www.imdb.com/news/ni61255200,OFFER_NEWS
Serena loses in exhibition comeback after giving birth,https://www.foxsports.com/tennis/story/serena-loses-in-exhibition-comeback-after-giving-birth-123017,BANK_NEWS
Thomas Rhett & Wife Open Up About Turbulent Adoption Process,https://countryfancast.com/thomas-rhett-adoption-process/,BANK_NEWS
Britney Spears Agrees to Pay Kevin Federline 'Thousands More' in Child Support: Report,https://people.com/music/britney-spears-child-support-kevin-federline-thousands-more/,BANK_NEWS
"12 photos of celebrities not wearing their jackets properly, because no one knows how to dress for fall weather",https://www.thisisinsider.com/celebrities-not-wearing-coats-fall-weather-photos-2017-10,BANK_NEWS
Luke Bryan Jokes Gwen Stefani Is Too Hot for Blake Shelton: Watch,www.usmagazine.com/celebrity-news/news/luke-bryan-jokes-gwen-stefani-is-too-hot-for-blake-shelton-watch-2015511/,BANK_NEWS
Cardi B Has Some Advice for Everyone Wrapped Up in Khloé Kardashian's Relationship Drama,https://www.glamour.com/story/cardi-b-khloe-kardashians-relationship-drama,BANK_NEWS
Patient Protection and Affordable Care Act,,BANK_NEWS
Blake Lively Condemns Harvey Weinstein Amid Allegations,https://www.usmagazine.com/celebrity-news/news/blake-lively-condemns-harvey-weinstein-amid-allegations-w508702/,BANK_NEWS
See the Hilarious Christmas Gift Jennifer Lawrence Gave Her 'BFF' Kris Jenner,https://people.com/tv/jennifer-lawrence-kris-jenner-porsche-christmas-gift/,BANK_NEWS
Investigating Celebrity Parenting Trends: From Placenta Pills and Banking Cord Blood to Babywearing,http://wushack.com/m/feed/view/Investigating-Celebrity-Parenting-Trends-From-Placenta-Pills-and-Banking-Cord-Blood-to-Babywearing-and-Clapping-Back,BANK_NEWS
"Together Again! Every Photo of Meghan, Kate, Harry and William at Centenary of Armistice Service",https://people.com/royals/meghan-markle-kate-middleton-prince-william-prince-harry-reunion-photos-centenary-armistice-service/,BANK_NEWS
Ben Affleck Gifted A Pet Pooch On What A Source Tells Us Is His Final Day In Rehab,www.x17online.com/2017/10/ben_affleck_last_day_rehab_emotional_support_dog_husky_photos_101817,BANK_NEWS
Kylie Jenner Says Daughter Stormi Looks ‘Just Like’ Her,https://www.usmagazine.com/celebrity-moms/news/kylie-jenner-says-daughter-stormi-looks-just-like-her/,BANK_NEWS
Jennifer Lopez Snubbed Vanessa Hudgens On ‘ Second Act ’ Set,,OFFER_NEWS
